model,context_len,tps,memory_mb,latency_ms
TRN,512,343.2771515817968,0.0063381195068359375,372.87655007094145
TF,512,29.125638768873426,0.006869316101074219,4394.753399770707
TRN,1024,261.5278620698099,0.005463600158691406,489.431600086391
TF,1024,16.202563845321475,0.00417327880859375,7899.984300136566
TRN,2048,245.9655405461123,0.005328178405761719,520.3981001395732
TF,2048,7.1188759855513934,0.004843711853027344,17980.36659997888
TRN,4096,238.99199145501834,0.005305290222167969,535.5828001629561
TF,4096,2.8436299561650964,0.00417327880859375,45012.88914983161
TRN,8192,241.90728011364945,0.005274772644042969,529.1283500846475
TF,8192,1.0354235099187359,0.004281044006347656,123620.9133497905
TRN,16384,243.1453433581798,0.0053081512451171875,526.4341000001878
TF,16384,0.42943697187255103,0.00417327880859375,298064.69490006566
