context_len,trn_ce,tf_ce,ratio
512,6.044678425788879,189.34341049194336,0.031924419287071425
1024,6.0458557367324826,190.82598571777345,0.0316825599720687
2048,6.043385791778564,191.89730911254884,0.03149281154450209
4096,6.043461322784424,193.11299209594728,0.0312949494344832
