============================================================
  TRN Go/No-Go Decision Test
  Steps: 5000, Device: cpu, Seed: 42
  Model: d_model=128, n_layers=4, n_osc=64
============================================================

============================================================
  COPY TASK  (seq_len=64, vocab=32, period=8)
============================================================

--- TRN ---
  TRN params: 956,804
  [TRN-copy] step  3550/5000 train=0.0000 val=6.4111 acc=0.0000 (766s)
  [TRN-copy] step  3600/5000 train=0.0000 val=6.4051 acc=0.0000 (773s)
  [TRN-copy] step  3650/5000 train=0.0000 val=6.4099 acc=0.0000 (779s)
  [TRN-copy] step  3700/5000 train=0.0000 val=6.3823 acc=0.0000 (785s)
  [TRN-copy] step  3750/5000 train=0.0000 val=6.3900 acc=0.0000 (791s)
  [TRN-copy] step  3800/5000 train=0.0000 val=6.4189 acc=0.0000 (798s)
  [TRN-copy] step  3850/5000 train=0.0000 val=6.4225 acc=0.0000 (804s)
  [TRN-copy] step  3900/5000 train=0.0000 val=6.4322 acc=0.0000 (810s)
  [TRN-copy] step  3950/5000 train=0.0000 val=6.4219 acc=0.0000 (817s)
  [TRN-copy] step  4000/5000 train=0.0000 val=6.3989 acc=0.0000 (823s)
  [TRN-copy] step  4050/5000 train=0.0000 val=6.4100 acc=0.0000 (829s)
  [TRN-copy] step  4100/5000 train=0.0000 val=6.4053 acc=0.0000 (835s)
  [TRN-copy] step  4150/5000 train=0.0000 val=6.4104 acc=0.0000 (842s)
  [TRN-copy] step  4200/5000 train=0.0000 val=6.4274 acc=0.0000 (848s)
  [TRN-copy] step  4250/5000 train=0.0000 val=6.4172 acc=0.0000 (854s)
  [TRN-copy] step  4300/5000 train=0.0000 val=6.4133 acc=0.0000 (861s)
  [TRN-copy] step  4350/5000 train=0.0000 val=6.4229 acc=0.0000 (867s)
  [TRN-copy] step  4400/5000 train=0.0000 val=6.4257 acc=0.0000 (873s)
  [TRN-copy] step  4450/5000 train=0.0000 val=6.4252 acc=0.0000 (879s)
  [TRN-copy] step  4500/5000 train=0.0000 val=6.4375 acc=0.0000 (886s)
  [TRN-copy] step  4550/5000 train=0.0000 val=6.4239 acc=0.0000 (892s)
  [TRN-copy] step  4600/5000 train=0.0000 val=6.4388 acc=0.0000 (898s)
  [TRN-copy] step  4650/5000 train=0.0000 val=6.4329 acc=0.0000 (905s)
  [TRN-copy] step  4700/5000 train=0.0000 val=6.4252 acc=0.0000 (911s)
  [TRN-copy] step  4750/5000 train=0.0000 val=6.4446 acc=0.0000 (917s)
  [TRN-copy] step  4800/5000 train=0.0000 val=6.4447 acc=0.0000 (924s)
  [TRN-copy] step  4850/5000 train=0.0000 val=6.4344 acc=0.0000 (930s)
  [TRN-copy] step  4900/5000 train=0.0000 val=6.4392 acc=0.0000 (936s)
  [TRN-copy] step  4950/5000 train=0.0000 val=6.4412 acc=0.0000 (943s)
  [TRN-copy] step  5000/5000 train=0.0000 val=6.4481 acc=0.0000 (949s)

--- Transformer ---
  TF params: 1,053,824
  [TF-copy] step    50/5000 train=70.2583 val=87.1243 acc=0.0000 (2s)
  [TF-copy] step   100/5000 train=19.8110 val=56.8920 acc=0.0000 (5s)
  [TF-copy] step   150/5000 train=0.1972 val=54.3346 acc=0.0000 (7s)
  [TF-copy] step   200/5000 train=0.0040 val=68.3358 acc=0.0000 (9s)
  [TF-copy] step   250/5000 train=0.0000 val=74.6701 acc=0.0000 (11s)
  [TF-copy] step   300/5000 train=0.0000 val=75.8658 acc=0.0000 (14s)
  [TF-copy] step   350/5000 train=0.0000 val=77.0098 acc=0.0000 (16s)
  [TF-copy] step   400/5000 train=0.0000 val=77.9954 acc=0.0000 (18s)
  [TF-copy] step   450/5000 train=0.0000 val=78.7814 acc=0.0000 (20s)
  [TF-copy] step   500/5000 train=0.0000 val=79.2077 acc=0.0000 (23s)
  [TF-copy] step   550/5000 train=0.0000 val=78.5109 acc=0.0000 (25s)
  [TF-copy] step   600/5000 train=0.0000 val=77.8403 acc=0.0000 (27s)
  [TF-copy] step   650/5000 train=0.0000 val=77.3223 acc=0.0000 (29s)
  [TF-copy] step   700/5000 train=0.0000 val=77.1948 acc=0.0000 (32s)
  [TF-copy] step   750/5000 train=0.0000 val=78.0908 acc=0.0000 (34s)
  [TF-copy] step   800/5000 train=0.0000 val=78.3489 acc=0.0000 (36s)
  [TF-copy] step   850/5000 train=0.0000 val=78.8397 acc=0.0000 (38s)
  [TF-copy] step   900/5000 train=0.0000 val=78.6305 acc=0.0000 (41s)
  [TF-copy] step   950/5000 train=0.0000 val=77.9490 acc=0.0000 (43s)
  [TF-copy] step  1000/5000 train=0.0727 val=79.0867 acc=0.0000 (45s)
  [TF-copy] step  1050/5000 train=0.0000 val=80.4599 acc=0.0000 (47s)
  [TF-copy] step  1100/5000 train=0.0000 val=81.7859 acc=0.0000 (50s)
  [TF-copy] step  1150/5000 train=0.0000 val=80.2538 acc=0.0000 (52s)
  [TF-copy] step  1200/5000 train=0.0000 val=80.6280 acc=0.0000 (54s)
  [TF-copy] step  1250/5000 train=0.0000 val=80.8568 acc=0.0000 (56s)
  [TF-copy] step  1300/5000 train=0.0000 val=80.9743 acc=0.0000 (59s)
  [TF-copy] step  1350/5000 train=0.0000 val=81.0466 acc=0.0000 (61s)
  [TF-copy] step  1400/5000 train=0.0000 val=81.0364 acc=0.0000 (63s)
  [TF-copy] step  1450/5000 train=0.0000 val=80.9545 acc=0.0000 (65s)
  [TF-copy] step  1500/5000 train=0.0000 val=80.7667 acc=0.0000 (68s)
  [TF-copy] step  1550/5000 train=0.0000 val=80.4241 acc=0.0000 (70s)
  [TF-copy] step  1600/5000 train=0.0000 val=80.0370 acc=0.0000 (72s)
  [TF-copy] step  1650/5000 train=0.0000 val=79.9098 acc=0.0000 (74s)
  [TF-copy] step  1700/5000 train=0.0000 val=79.4939 acc=0.0000 (77s)
  [TF-copy] step  1750/5000 train=0.0000 val=79.2295 acc=0.0000 (79s)
  [TF-copy] step  1800/5000 train=0.0000 val=79.2797 acc=0.0000 (81s)
  [TF-copy] step  1850/5000 train=0.0000 val=78.8408 acc=0.0000 (83s)
  [TF-copy] step  1900/5000 train=0.0000 val=78.5159 acc=0.0000 (86s)
  [TF-copy] step  1950/5000 train=0.0000 val=77.5934 acc=0.0000 (88s)
  [TF-copy] step  2000/5000 train=0.0000 val=76.6761 acc=0.0000 (90s)
  [TF-copy] step  2050/5000 train=0.0000 val=75.8076 acc=0.0000 (92s)
  [TF-copy] step  2100/5000 train=0.0000 val=74.8479 acc=0.0000 (95s)
  [TF-copy] step  2150/5000 train=0.0000 val=73.9768 acc=0.0000 (97s)
  [TF-copy] step  2200/5000 train=0.0000 val=72.9111 acc=0.0000 (99s)
  [TF-copy] step  2250/5000 train=0.0000 val=71.8881 acc=0.0000 (101s)
  [TF-copy] step  2300/5000 train=0.0000 val=70.6309 acc=0.0000 (104s)
  [TF-copy] step  2350/5000 train=0.0000 val=69.5278 acc=0.0000 (106s)
  [TF-copy] step  2400/5000 train=0.0000 val=68.1687 acc=0.0000 (108s)
  [TF-copy] step  2450/5000 train=0.0000 val=66.8936 acc=0.0000 (110s)
