model,seed,recent_exact_acc,old_fact_token_acc,old_fact_span_exact_acc,pattern_token_acc,salient_acc,composite_score,router_kv_ratio,router_trn_ratio,router_ret_ratio,final_loss,train_time_s,stable
kv,0,1.0,0.05128205128205128,0.0,0.026442307692307692,0.06009615384615385,0.2199519230769231,1.0,0.0,0.0,3.2744059562683105,192.6989448000677,True
kv_trn,0,1.0,0.052083333333333336,0.0,0.026442307692307692,0.06009615384615385,0.2199519230769231,0.7563755305913779,0.24362446998174375,0.0,3.2823750972747803,1571.7143021002412,True
kv_ret,0,1.0,0.04887820512820513,0.0,0.028846153846153848,0.06490384615384616,0.2216346153846154,0.7282592551066325,0.0,0.27174073973527324,2.6941702365875244,248.33661160012707,True
trimemory,0,1.0,0.049679487179487176,0.0,0.01201923076923077,0.06009615384615385,0.215625,0.6257839231536939,0.23500136114083803,0.13921471076229444,3.4140231609344482,1510.8819205998443,True
kv,1,1.0,0.047275641025641024,0.0,0.019230769230769232,0.05048076923076923,0.21586538461538463,1.0,0.0,0.0,2.2865333557128906,180.1115939002484,True
kv_trn,1,1.0,0.04567307692307692,0.0,0.026442307692307692,0.05048076923076923,0.21802884615384616,0.5896986763064678,0.4103013328634776,0.0,2.285602569580078,1389.4053990999237,True
kv_ret,1,1.0,0.05048076923076923,0.0,0.021634615384615384,0.05048076923076923,0.21658653846153847,0.6297146185086324,0.0,0.37028537919888127,2.2852325439453125,154.65851320000365,True
trimemory,1,1.0,0.04567307692307692,0.0,0.026442307692307692,0.05048076923076923,0.21802884615384616,0.47586469696118283,0.28908529992286974,0.23505000555171415,2.2855141162872314,1225.2997570997104,True
