model,seed,recent_exact_acc,old_fact_token_acc,old_fact_span_exact_acc,old_fact_span_partial_acc,pattern_token_acc,salient_event_acc,composite_score,router_kv_ratio,router_trn_ratio,router_ret_ratio,retrieval_calls,archive_chunk_count,final_loss,train_time_s,stable
kv,0,1.0,0.20793269230769232,0.036057692307692304,0.3798076923076923,0.02403846153846154,0.08413461538461539,0.23485576923076923,1.0,0.0,0.0,13,6.0,3.7328381538391113,118.77890750020742,True
kv_trn,0,1.0,0.20552884615384615,0.036057692307692304,0.375,0.01201923076923077,0.08413461538461539,0.23124999999999998,0.6745482648794467,0.325451736839918,0.0,13,6.0,3.655658006668091,416.28867219993845,True
kv_ret,0,1.0,0.21033653846153846,0.036057692307692304,0.38461538461538464,0.02403846153846154,0.08413461538461539,0.23485576923076923,0.7133546609144944,0.0,0.2866453319214858,13,6.0,3.5488064289093018,108.54896510019898,True
trimemory,0,1.0,0.20552884615384615,0.036057692307692304,0.375,0.026442307692307692,0.08413461538461539,0.23557692307692307,0.6092906600007644,0.23588348008119142,0.15482585941656277,13,6.0,3.6142475605010986,408.7650380996056,True
kv,1,1.0,0.21394230769230768,0.057692307692307696,0.3701923076923077,0.016826923076923076,0.052884615384615384,0.2329326923076923,1.0,0.0,0.0,13,6.0,2.2266857624053955,105.65042999992147,True
kv_trn,1,1.0,0.21394230769230768,0.057692307692307696,0.3701923076923077,0.016826923076923076,0.052884615384615384,0.2329326923076923,0.6142073571681976,0.3857926388199513,0.0,13,6.0,2.2146823406219482,410.80362770007923,True
kv_ret,1,1.0,0.21394230769230768,0.057692307692307696,0.3701923076923077,0.016826923076923076,0.06490384615384616,0.23533653846153849,0.632464930988275,0.0,0.367535066146117,13,6.0,2.214778184890747,104.91767930006608,True
trimemory,1,1.0,0.21394230769230768,0.057692307692307696,0.3701923076923077,0.016826923076923076,0.057692307692307696,0.23389423076923077,0.48086291952775073,0.27851295557159644,0.24062412776626074,13,6.0,2.2144601345062256,389.43739200010896,True
