step,TRN_train,TRN_val,TF_train,TF_val,Hybrid(0.5)_train,Hybrid(0.5)_val
50,4.2919,4.2882,25.0557,24.2291,4.2769,4.2909
100,4.2215,4.2204,4.4999,4.4368,4.1924,4.1883
200,4.1516,4.1857,4.1779,4.1853,4.1429,4.1708
300,4.1547,4.1744,4.1672,4.1724,4.1449,4.1723
