step,TRN_train,TRN_val,TF_train,TF_val,Hybrid(0.5)_train,Hybrid(0.5)_val
50,4.1012,4.1251,25.3080,24.5366,4.1291,4.1259
100,3.9949,4.0260,4.4225,4.3943,3.9726,3.9941
200,3.9651,3.9835,4.0904,4.0877,3.9120,3.9404
300,3.9049,3.9697,4.0248,4.0535,3.8283,3.9089
